horsepower,weight
130,3504
165,3693
150,3436
150,3433
140,3449
198,4341
220,4354
215,4312
225,4425
190,3850
170,3563
160,3609
150,3761
225,3086
95,2372
95,2833
97,2774
85,2587
88,2130
46,1835
87,2672
90,2430
95,2375
113,2234
90,2648
215,4615
200,4376
210,4382
193,4732
88,2130
90,2264
95,2228
?,2046
100,2634
105,3439
100,3329
88,3302
100,3288
165,4209
175,4464
153,4154
150,4096
180,4955
170,4746
175,5140
110,2962
72,2408
100,3282
88,3139
86,2220
90,2123
70,2074
76,2065
65,1773
69,1613
60,1834
70,1955
95,2278
80,2126
54,2254
90,2408
86,2226
165,4274
175,4385
150,4135
153,4129
150,3672
208,4633
155,4502
160,4456
190,4422
97,2330
150,3892
130,4098
140,4294
150,4077
112,2933
76,2511
87,2979
69,2189
86,2395
92,2288
97,2506
80,2164
88,2100
175,4100
150,3672
145,3988
137,4042
150,3777
198,4952
150,4464
158,4363
150,4237
215,4735
225,4951
175,3821
105,3121
100,3278
100,2945
88,3021
95,2904
46,1950
150,4997
167,4906
170,4654
180,4499
100,2789
88,2279
72,2401
94,2379
90,2124
85,2310
107,2472
90,2265
145,4082
230,4278
49,1867
75,2158
91,2582
112,2868
150,3399
110,2660
122,2807
180,3664
95,3102
?,2875
100,2901
100,3336
67,1950
80,2451
65,1836
75,2542
100,3781
110,3632
105,3613
140,4141
150,4699
150,4457
140,4638
150,4257
83,2219
67,1963
78,2300
52,1649
61,2003
75,2125
75,2108
75,2246
97,2489
93,2391
67,2000
95,3264
105,3459
72,3432
72,3158
170,4668
145,4440
150,4498
148,4657
110,3907
105,3897
110,3730
95,3785
110,3039
110,3221
129,3169
75,2171
83,2639
100,2914
78,2592
96,2702
71,2223
97,2545
97,2984
70,1937
90,3211
95,2694
88,2957
98,2945
115,2671
53,1795
86,2464
81,2220
92,2572
79,2255
83,2202
140,4215
150,4190
120,3962
152,4215
100,3233
105,3353
81,3012
90,3085
52,2035
60,2164
70,1937
53,1795
100,3651
78,3574
110,3645
95,3193
71,1825
70,1990
75,2155
72,2565
102,3150
150,3940
88,3270
108,2930
120,3820
180,4380
145,4055
130,3870
150,3755
68,2045
80,2155
58,1825
96,2300
70,1945
145,3880
110,4060
145,4140
130,4295
110,3520
105,3425
100,3630
98,3525
180,4220
170,4165
190,4325
149,4335
78,1940
88,2740
75,2265
89,2755
63,2051
83,2075
67,1985
78,2190
97,2815
110,2600
110,2720
48,1985
66,1800
52,1985
70,2070
60,1800
110,3365
140,3735
139,3570
105,3535
95,3155
85,2965
88,2720
100,3430
90,3210
105,3380
85,3070
110,3620
120,3410
145,3425
165,3445
139,3205
140,4080
68,2155
95,2560
97,2300
75,2230
95,2515
105,2745
85,2855
97,2405
103,2830
125,3140
115,2795
133,3410
71,1990
68,2135
115,3245
85,2990
88,2890
90,3265
110,3360
130,3840
129,3725
138,3955
135,3830
155,4360
142,4054
125,3605
150,3940
71,1925
65,1975
80,1915
80,2670
77,3530
125,3900
71,3190
90,3420
70,2200
70,2150
65,2020
69,2130
90,2670
115,2595
115,2700
90,2556
76,2144
60,1968
70,2120
65,2019
90,2678
88,2870
90,3003
90,3381
78,2188
90,2711
75,2542
92,2434
75,2265
65,2110
105,2800
65,2110
48,2085
48,2335
67,2950
67,3250
67,1850
?,1835
67,2145
62,1845
132,2910
100,2420
88,2500
?,2905
72,2290
84,2490
84,2635
92,2620
110,2725
84,2385
58,1755
64,1875
60,1760
67,2065
65,1975
62,2050
68,1985
63,2215
65,2045
65,2380
74,2190
?,2320
75,2210
75,2350
100,2615
74,2635
80,3230
76,3160
116,2900
120,2930
110,3415
105,3725
88,3060
85,3465
88,2605
88,2640
88,2395
85,2575
84,2525
90,2735
92,2865
?,3035
74,1980
68,2025
68,1970
63,2125
70,2125
88,2160
75,2205
70,2245
67,1965
67,1965
67,1995
110,2945
85,3015
92,2585
112,2835
96,2665
84,2370
90,2950
86,2790
52,2130
84,2295
79,2625
82,2720
